price,address,bds,ba,sqft,sqftlot
"$48,000","2180 Judge Rd, Alabama, NY 14013",3,1,"5,049","3,920"
"$209,900","6428 Knowlesville Rd, Oakfield, NY 14125",3,3,"1,248",8.4acre
"$139,900","1310 Casey Rd, Basom, NY 14013",3,1,"1,688",1acre
"$109,900","6538 Alleghany Rd, Basom, NY 14013",2,1.5,"1,904",0.52acre
"$85,000$5K","7152 Alleghany Rd, Basom, NY 14013",Studio,"1,714sqft",0.35acre,Null
"$124,900","1142 McAlpine Rd, Basom, NY 14013",3,1,980,4.3acre
"$40,000","6951 Knowlesville Rd, Oakfield, NY 14125",4,1,720,1.02acre
"$149,900","453 East Rd, Wyoming, NY 14591",3,2,"2,696",2.79acre
"$169,900","42 Doris Ave, Lancaster, NY 14086",3,1.5,"1,180","6,500"
"$149,900","5101 Barrville Rd, Elba, NY 14058",1,1,976,16.6acre
"$299,900","9314 Ridge Rd, Middleport, NY 14105",5,3,"3,700",6.2acre
"$69,900","2 Roosevelt Ave, Batavia, NY 14020",3,1,"1,264","5,600"
"$48,000","1400 Chestnut St, Alden, NY 14004",3,2,"1,280",Null
"$235,500","15120 Zig Zag Rd, Albion, NY 14411",5,2.5,"2,768",2.7acre
"$73,500","209 West Ave, Medina, NY 14103",3,1,"1,116","2,045"
"$119,900","53 Wayne St, Depew, NY 14043",6,2,"2,520",0.25acre
"$194,900","3370 Hess Rd, Lockport, NY 14094",3,2,"2,035",0.52acre
"$274,900","432 Seneca Creek Rd, West Seneca, NY 14224",4,2,"2,493",2.1acre
"$199,900","30 School St, Lancaster, NY 14086",5,2,"2,686","5,724"
"$57,900","142 State St, Medina, NY 14103",3,1,"1,592","8,712"
"$149,999","54 Maplewood Ave, West Seneca, NY 14224",3,2,"1,144","8,405"
"$58,000","1425 Village Park Dr, Alden, NY 14004",3,2,"1,600",Null
"$1,499,900","60 Galileo Dr, Amherst, NY 14221",6,4.5+,"8,088",1.38acre
"$369,900","711 Winspear Rd, Elma, NY 14059",4,2.5,"2,093",1.4acre
"$69,900","243 South St, Lockport, NY 14094",4,2,"1,792","4,998"
"$379,000","99 Lord Byron Ln, Williamsville, NY 14221",3,2.5,"2,174","6,010"
"$129,999","77 Webb St, Lockport, NY 14094",4,2,"1,888","7,317"
"$374,900$14K","30 Middlebury Ln, Lancaster, NY 14086",4,2.5,"2,299",0.43acre
"$365,000","1 Cidermill Ct, Depew, NY 14043",4,2.5+,"2,351",0.41acre
"$229,900","154 Colony St, Depew, NY 14043",3,1.5,"1,400","8,775"
"$379,900","128 Britannia Dr, Amherst, NY 14051",4,2.5,"2,512","9,226"
"$34,900","211 Quarry Hill Ests Unit 211, Akron, NY 14001",3,2,Null,Null
"$379,900","7 Opal Ct, East Amherst, NY 14051",5,2.5+,"2,554",0.25acre
"$179,900","76 W Toulon Dr, Cheektowaga, NY 14227",3,1,"1,300","5,500"
"$12,900","155 Quarry Hill Ests Unit 155, Akron, NY 14001",2,2,Null,Null
$100,"105 Quarry Hill Ests Unit 105, Akron, NY 14001",2,1,Null,Null
price,address,bds,ba,sqft,sqftlot
"$195,000","1804 Alder Way Apt C, Sitka, AK 99835",2,1,809,Null
"$250,000","L1 Quiana Is, Sitka, AK 99835",1,557sqft,1.39acre,Null
"$226,906","1306-2 Halibut Point Rd, Sitka, AK 99835",2,1.5,936,"3,368"
"$197,000","1306-1 Halibut Point Rd, Sitka, AK 99835",1,1,970,"3,368"
"$197,000","1306-1 Halibut Point Rd, Sitka, AK 99835",1,1.5,970,"3,485"
"$354,000","708 Sirstad St, Sitka, AK 99835",3,1.5,"1,672",0.23acre
"$350,000","L2-3 Quiana Is, Sitka, AK 99835",2,740sqft,5.61acre,Null
"$395,000","Legal Address Only Lot 163, Sitka, AK 99835",6,4,"2,440","7,405"
"$499,000","104 McConkey Dr, Sitka, AK 99835",4,3,"3,490",0.34acre
"$250,000","1006 Halibut Point Rd, Sitka, AK 99835",2,1,836,"8,990"
"$350,000","Block 3 Middle Is Lot 10, Sitka, AK 99835",2,0.5,"1,238",Null
"$55,000","Block 3 Lot 3, Middle Island Sitka, AK 99835",1.87acres lot,Null,Null,Null
"$399,000","104 Darrin Dr, Sitka, AK 99835",4,2.5,"2,880","8,933"
"$320,000","217 Lance Dr, Sitka, AK 99835",4,2.5,"2,768","6,919"
"$395,000","101 Sowards Is, Sitka, AK 99835",6,4.5,"2,440","7,405"
"$125,000","405 Monastery St, Sitka, AK 99835",1,1,Null,Null
"$450,000","1223 Georgeson Loop, Sitka, AK 99835",4,3,"2,204",0.38acre
"$320,000","102 Andrew P Hope St, Sitka, AK 99835",3,2,"1,196","9,670"
"$425,000","704 Monastery St, Sitka, AK 99835",6,4,"2,993","7,405"
"$99,000","Legal Address Only, Sitka, AK 99835",1.12acres lot,Null,Null,Null
"$499,000","1950 Dodge Cir, Sitka, AK 99835",4,3.5,"2,529",0.33acre
"$209,000","800 Halibut Point Rd Apt H, Sitka, AK 99835",1,1,922,Null
"$475,000","100 Johnson St, Sitka, AK 99835",3,2,"2,382",0.24acre
"$499,000","2406 Halibut Point Rd, Sitka, AK 99835",2,2,"1,480","5,663"
"$329,000","605 Sawmill Creek Rd, Sitka, AK 99835",3,1,"1,516",Null
"$375,000","709 Sirstad St, Sitka, AK 99835",3,2,"1,433","9,375"
"$525,000","800 Lake St, Sitka, AK 99835",4,3,"2,219",0.29acre
"$463,000","206 Park St, Sitka, AK 99835",3,3,"1,892","9,891"
"$1,150,000","L150 Mertz Is, Sitka, AK 99835",4,3,"2,569",3.75acre
"$799,000","108 Toivo Cir, Sitka, AK 99835",4,"3,452sqft",0.26acre,Null
"$299,000","2222 Sawmill Creek Rd, Sitka, AK 99835",2,1,693,"5,875"
"$339,000","3003 Barker St, Sitka, AK 99835",3,2,"1,246","8,700"
"$1,750,000","2950 Sawmill Creek Rd, Sitka, AK 99835",7,7.5,"5,494",1.07acre
"$449,500","105 Wolff Dr, Sitka, AK 99835",3,2,"2,314","7,427"
"$350,000","149B Quiana Is, Sitka, AK 99835",2,1,930,1.39acre
"$450,000","3004 Mikele St, Sitka, AK 99835",4,3,"2,430",0.24acre
"$525,000","1714 Edgecumbe Dr, Sitka, AK 99835",4,3,"2,262",0.4acre
"$467,500","2820 Sawmill Creek Rd, Sitka, AK 99835",6,3,"2,794",0.69acre
"$695,000","315 Eliason Loop, Sitka, AK 99835",3,3,"3,438",0.27acre
"$315,000","2028 2 Halibut Point Rd, Sitka, AK 99835",3,2,"1,434","5,033"
"$337,500","110 Darrin Dr, Sitka, AK 99835",2,1.5,"1,435","7,509"
"$875,000","2301 Merganser Dr, Sitka, AK 99835",5,2.5,"2,254",0.67acre
"$599,000","4014 Halibut Point Rd, Sitka, AK 99835",5,4,"4,983",0.27acre
"$459,000","300 Baranof St, Sitka, AK 99835",4,3,"2,464","6,398"
"$559,000","3106 Halibut Point Rd, Sitka, AK 99835",3,3,"1,588","8,237"
"$125,000","2026 Halibut Point Rd Apt D, Sitka, AK 99835","8,437sqft lot",Null,Null,Null
"$545,000","505 Sawmill Creek Rd, Sitka, AK 99835",Null,Null,Null,Null
"$249,000","1306-3 Halibut Point Rd, Sitka, AK 99835",3,1.5,"1,044","3,485"
"$375,000","17 20 Middle Is Lot 16, Sitka, AK 99835",1,1.5,Null,Null
"$559,000","3007 Halibut Point Rd, Sitka, AK 99835",5,2.5,"2,184",0.28acre
"$220,000","2002 Sawmill Creek Rd, Sitka, AK 99835",0.4acres lot,Null,Null,Null
"$989,000","4420 Halibut Point Rd, Sitka, AK 99835",8,6,"4,731",0.44acre
"$285,000","4311 Halibut Point Rd, Sitka, AK 99835",0.25acres lot,Null,Null,Null
price,address,bds,ba,sqft,sqftlot
"$139,750","7622 Boundary Ave, Anchorage, AK 99504",3,2,"1,210",Null
"$249,900","841 Hunt Cir, Anchorage, AK 99504",3,2.5,"1,879","6,098"
"$254,900","420 W 91st Ave, Anchorage, AK 99515",4,2,"1,824","7,405"
"$385,000","801 W 20th Ave, Anchorage, AK 99503",3,2,"1,640","6,970"
"$205,000","281 Dailey Ave Unit 15, Anchorage, AK 99515",2,1.5,"1,202",Null
"$198,500","3901 Resurrection Dr, Anchorage, AK 99504",2,1.5,"1,560","3,485"
"$224,900","6417 E 10th Ave, Anchorage, AK 99504",3,2.5,"1,650",Null
"$499,000","2401 Douglas Dr, Anchorage, AK 99517",4,2.5,"2,077","9,583"
"$425,000","19118 Jamie Dr, Eagle River, AK 99577",4,3,"3,370",1.83acre
"$235,000","3804 Wilson St, Anchorage, AK 99503",3,1.5,"1,400",0.26acre
"$87,500","3041 Lois Dr Apt 402, Anchorage, AK 99517",1,1,580,Null
"$292,000","9831 Whitefish Cir, Anchorage, AK 99515",3,2.5,"1,636","7,841"
"$399,500","5700 E 99th Ave, Anchorage, AK 99507",5,4.5,"4,429",0.37acre
"$235,000","3700 Carleton Ave, Anchorage, AK 99517",3,2,"1,377",Null
"$290,000","908 W 58th Ave, Anchorage, AK 99518",4,2,"1,978","6,970"
"$140,000","3440 W 86th Ave Apt 10A, Anchorage, AK 99502",2,1,835,Null
"$320,000","3300 E 42nd Ave, Anchorage, AK 99508",5,2,"2,288","8,276"
"$214,900","6259 E 41st Ct Unit 107, Anchorage, AK 99504",3,2,"1,590",Null
"$138,000","1521 Early View Dr, Anchorage, AK 99504",3,1,"1,005",Null
"$359,900","6608 Lakeway Dr, Anchorage, AK 99502",3,2.5,"1,824","2,614"
