Price,address,region,bds,ba,sqft
"$289,500",190 County Road 17,"Autaugaville, AL",4,3,"3,433 "
"$129,900",496 Riverview Ln,"Autaugaville, AL",3,2,"2,496 "
"$245,900",825 Strickland Landing Rd,"Autaugaville, AL",3,3,"3,173 "
"$409,900",822 Cottrell Way,"Autaugaville, AL",3,3,"2,424 "
"$749,900",109 County Road 45 S,"Autaugaville, AL",4,5,"3,226 "
"$178,000",456 County Road 45 N,"Autaugaville, AL",4,2,"1,976 "
"$26,000",615 County Road 45 N,"Autaugaville, AL",2,1,978 
"$90,000",Autauga County,"Autaugaville, AL",Null,Null,Null
"$377,500",Off Of County Rd #45,"Autaugaville, AL",Null,Null,Null
"$50,000",Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$67,900",726 Lakeshore Dr,"Autaugaville, AL",Null,Null,Null
"$25,500",7 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
"$45,000",797 Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$35,000",27 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
Contact For Estimate,411 N Pickett St,"Autaugaville, AL",Null,Null,Null
"$15,000",N Autauga St,"Autaugaville, AL",Null,Null,Null
"$259,500",County Road 25,"Prattville, AL",Null,Null,Null
"$1,717,500",County Road 44,"Autaugaville, AL",3,3,"1,040 "
"$399,000",2239 Highway 14 W,"Autaugaville, AL",5,4,"7,000 "
"$289,500",190 County Road 17,"Autaugaville, AL",4,3,"3,433 "
"$129,900",496 Riverview Ln,"Autaugaville, AL",3,2,"2,496 "
"$245,900",825 Strickland Landing Rd,"Autaugaville, AL",3,3,"3,173 "
"$409,900",822 Cottrell Way,"Autaugaville, AL",3,3,"2,424 "
"$749,900",109 County Road 45 S,"Autaugaville, AL",4,5,"3,226 "
"$178,000",456 County Road 45 N,"Autaugaville, AL",4,2,"1,976 "
"$26,000",615 County Road 45 N,"Autaugaville, AL",2,1,978 
"$90,000",Autauga County,"Autaugaville, AL",Null,Null,Null
"$377,500",Off Of County Rd #45,"Autaugaville, AL",Null,Null,Null
"$50,000",Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$67,900",726 Lakeshore Dr,"Autaugaville, AL",Null,Null,Null
"$25,500",7 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
"$45,000",797 Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$35,000",27 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
Contact For Estimate,411 N Pickett St,"Autaugaville, AL",Null,Null,Null
"$15,000",N Autauga St,"Autaugaville, AL",Null,Null,Null
"$259,500",County Road 25,"Prattville, AL",Null,Null,Null
"$1,717,500",County Road 44,"Autaugaville, AL",3,3,"1,040 "
"$399,000",2239 Highway 14 W,"Autaugaville, AL",5,4,"7,000 "
"$289,500",190 County Road 17,"Autaugaville, AL",4,3,"3,433 "
"$129,900",496 Riverview Ln,"Autaugaville, AL",3,2,"2,496 "
"$245,900",825 Strickland Landing Rd,"Autaugaville, AL",3,3,"3,173 "
"$409,900",822 Cottrell Way,"Autaugaville, AL",3,3,"2,424 "
"$749,900",109 County Road 45 S,"Autaugaville, AL",4,5,"3,226 "
"$178,000",456 County Road 45 N,"Autaugaville, AL",4,2,"1,976 "
"$26,000",615 County Road 45 N,"Autaugaville, AL",2,1,978 
"$90,000",Autauga County,"Autaugaville, AL",Null,Null,Null
"$377,500",Off Of County Rd #45,"Autaugaville, AL",Null,Null,Null
"$50,000",Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$67,900",726 Lakeshore Dr,"Autaugaville, AL",Null,Null,Null
"$25,500",7 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
"$45,000",797 Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$35,000",27 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
Contact For Estimate,411 N Pickett St,"Autaugaville, AL",Null,Null,Null
"$15,000",N Autauga St,"Autaugaville, AL",Null,Null,Null
"$259,500",County Road 25,"Prattville, AL",Null,Null,Null
"$1,717,500",County Road 44,"Autaugaville, AL",3,3,"1,040 "
"$399,000",2239 Highway 14 W,"Autaugaville, AL",5,4,"7,000 "
"$289,500",190 County Road 17,"Autaugaville, AL",4,3,"3,433 "
"$129,900",496 Riverview Ln,"Autaugaville, AL",3,2,"2,496 "
"$245,900",825 Strickland Landing Rd,"Autaugaville, AL",3,3,"3,173 "
"$409,900",822 Cottrell Way,"Autaugaville, AL",3,3,"2,424 "
"$749,900",109 County Road 45 S,"Autaugaville, AL",4,5,"3,226 "
"$178,000",456 County Road 45 N,"Autaugaville, AL",4,2,"1,976 "
"$26,000",615 County Road 45 N,"Autaugaville, AL",2,1,978 
"$90,000",Autauga County,"Autaugaville, AL",Null,Null,Null
"$377,500",Off Of County Rd #45,"Autaugaville, AL",Null,Null,Null
"$50,000",Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$67,900",726 Lakeshore Dr,"Autaugaville, AL",Null,Null,Null
"$25,500",7 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
"$45,000",797 Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$35,000",27 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
Contact For Estimate,411 N Pickett St,"Autaugaville, AL",Null,Null,Null
"$15,000",N Autauga St,"Autaugaville, AL",Null,Null,Null
"$259,500",County Road 25,"Prattville, AL",Null,Null,Null
"$1,717,500",County Road 44,"Autaugaville, AL",3,3,"1,040 "
"$399,000",2239 Highway 14 W,"Autaugaville, AL",5,4,"7,000 "
"$289,500",190 County Road 17,"Autaugaville, AL",4,3,"3,433 "
"$129,900",496 Riverview Ln,"Autaugaville, AL",3,2,"2,496 "
"$245,900",825 Strickland Landing Rd,"Autaugaville, AL",3,3,"3,173 "
"$409,900",822 Cottrell Way,"Autaugaville, AL",3,3,"2,424 "
"$749,900",109 County Road 45 S,"Autaugaville, AL",4,5,"3,226 "
"$178,000",456 County Road 45 N,"Autaugaville, AL",4,2,"1,976 "
"$26,000",615 County Road 45 N,"Autaugaville, AL",2,1,978 
"$90,000",Autauga County,"Autaugaville, AL",Null,Null,Null
"$377,500",Off Of County Rd #45,"Autaugaville, AL",Null,Null,Null
"$50,000",Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$67,900",726 Lakeshore Dr,"Autaugaville, AL",Null,Null,Null
"$25,500",7 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
"$45,000",797 Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$35,000",27 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
Contact For Estimate,411 N Pickett St,"Autaugaville, AL",Null,Null,Null
"$15,000",N Autauga St,"Autaugaville, AL",Null,Null,Null
"$259,500",County Road 25,"Prattville, AL",Null,Null,Null
"$1,717,500",County Road 44,"Autaugaville, AL",3,3,"1,040 "
"$399,000",2239 Highway 14 W,"Autaugaville, AL",5,4,"7,000 "
"$289,500",190 County Road 17,"Autaugaville, AL",4,3,"3,433 "
"$129,900",496 Riverview Ln,"Autaugaville, AL",3,2,"2,496 "
"$245,900",825 Strickland Landing Rd,"Autaugaville, AL",3,3,"3,173 "
"$409,900",822 Cottrell Way,"Autaugaville, AL",3,3,"2,424 "
"$749,900",109 County Road 45 S,"Autaugaville, AL",4,5,"3,226 "
"$178,000",456 County Road 45 N,"Autaugaville, AL",4,2,"1,976 "
"$26,000",615 County Road 45 N,"Autaugaville, AL",2,1,978 
"$90,000",Autauga County,"Autaugaville, AL",Null,Null,Null
"$377,500",Off Of County Rd #45,"Autaugaville, AL",Null,Null,Null
"$50,000",Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$67,900",726 Lakeshore Dr,"Autaugaville, AL",Null,Null,Null
"$25,500",7 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
"$45,000",797 Strickland Landing Rd,"Autaugaville, AL",Null,Null,Null
"$35,000",27 Bel Ru Lndg,"Autaugaville, AL",Null,Null,Null
Contact For Estimate,411 N Pickett St,"Autaugaville, AL",Null,Null,Null
"$15,000",N Autauga St,"Autaugaville, AL",Null,Null,Null
"$259,500",County Road 25,"Prattville, AL",Null,Null,Null
"$1,717,500",County Road 44,"Autaugaville, AL",3,3,"1,040 "
